"","x"
"LSTAT",9.49805818808938
"RM",7.75114957597398
"(Intercept)",6.71424485369731
"PTRATIO",6.39140919469885
"DIS",6.03073397345908
"RAD",4.29037060967511
"NOX",3.94506876392581
"B",3.35308085844367
"TAX",2.85242759433013
"ZN",2.46669230481331
"CHAS",2.43476159097203
"CRIM",2.39693362816317
"AGE",0.633302129833145
"INDUS",0.186615051873576
